#1
# BEV Profile
# ID: 77
# Created: 2023-08-24 13:57:45.750304
# This table contains boolean values. Each value is valid for the time interval until next data point.
float	data(511,3)
0	1	0.0
117300	0	0.0
142680	1	0.166
195660	0	0.0
235200	1	0.189
291720	0	0.0
301620	1	0.0858
366660	0	0.0
398220	1	0.136
465960	0	0.0
496620	1	0.1724
714300	0	0.0
746700	1	0.1909
807000	0	0.0
825960	1	0.3575
1067820	0	0.0
1093320	1	0.0206
1239360	0	0.0
1259580	1	0.0389
1323780	0	0.0
1342860	1	0.1773
1405020	0	0.0
1444620	1	0.2267
1496160	0	0.0
1538400	1	0.1332
1585080	0	0.0
1614900	1	0.1875
1669380	0	0.0
1704720	1	0.2836
1839540	0	0.0
1866060	1	0.0899
1927740	0	0.0
1959480	1	0.0788
2024760	0	0.0
2036580	1	0.3501
2099700	0	0.0
2130360	1	0.1129
2273640	0	0.0
2298540	1	0.2458
2533740	0	0.0
2558580	1	0.083
2616360	0	0.0
2639700	1	0.1016
2795220	0	0.0
2818680	1	0.2316
2881680	0	0.0
2905860	1	0.2383
3055680	0	0.0
3083100	1	0.0065
3138660	0	0.0
3165660	1	0.0564
3223140	0	0.0
3249420	1	0.1448
3399660	0	0.0
3422400	1	0.2208
3479700	0	0.0
3506580	1	0.1148
3658260	0	0.0
3684900	1	0.0365
3738960	0	0.0
3774600	1	0.1978
3826080	0	0.0
3864780	1	0.1013
3919860	0	0.0
3938580	1	0.0851
4005600	0	0.0
4030980	1	0.0514
4088760	0	0.0
4106820	1	0.1955
4181580	0	0.0
4195320	1	0.0248
4259760	0	0.0
4296180	1	0.1009
4434180	0	0.0
4470060	1	0.2372
4520160	0	0.0
4543200	1	0.1775
4611480	0	0.0
4640520	1	0.0594
4695840	0	0.0
4730940	1	0.0952
4872000	0	0.0
4889640	1	0.0327
4950600	0	0.0
4984140	1	0.0889
5040420	0	0.0
5076420	1	0.1688
5123760	0	0.0
5162700	1	0.1309
5219580	0	0.0
5231400	1	0.1307
5299200	0	0.0
5333760	1	0.0461
5560980	0	0.0
5588220	1	0.3135
5643180	0	0.0
5662920	1	0.1816
5734020	0	0.0
5756460	1	0.1376
5989380	0	0.0
6009240	1	0.0673
6161040	0	0.0
6193740	1	0.1055
6250500	0	0.0
6269040	1	0.1758
6424380	0	0.0
6453660	1	0.2381
6518280	0	0.0
6531720	1	0.1599
6771300	0	0.0
6800940	1	0.0847
6854100	0	0.0
6883560	1	0.2087
6937860	0	0.0
6971100	1	0.0519
7026360	0	0.0
7055580	1	0.0249
7286460	0	0.0
7314360	1	0.0368
7376700	0	0.0
7413960	1	0.0637
7540380	0	0.0
7569120	1	0.2208
7631700	0	0.0
7660080	1	0.0297
7713180	0	0.0
7746300	1	0.1593
7887540	0	0.0
7910280	1	0.0105
7977240	0	0.0
8016540	1	0.1719
8066160	0	0.0
8098920	1	0.0708
8149500	0	0.0
8178060	1	0.0911
8240400	0	0.0
8255700	1	0.1546
8325420	0	0.0
8362140	1	0.18
8407440	0	0.0
8447700	1	0.0308
8497380	0	0.0
8514240	1	0.0549
8581020	0	0.0
8615940	1	0.021
8844720	0	0.0
8871000	1	0.2653
8927280	0	0.0
8971020	1	0.1223
9181020	0	0.0
9209880	1	0.1292
9264900	0	0.0
9300960	1	0.1556
9366360	0	0.0
9396540	1	0.1148
9615180	0	0.0
9642360	1	0.0696
9702960	0	0.0
9728520	1	0.0522
9787680	0	0.0
9828840	1	0.2113
9964740	0	0.0
10000680	1	0.2048
10143840	0	0.0
10177440	1	0.107
10311900	0	0.0
10336920	1	0.0739
10483500	0	0.0
10518360	1	0.0371
10659540	0	0.0
10687080	1	0.1417
10740360	0	0.0
10766520	1	0.1891
10821840	0	0.0
10855680	1	0.1133
10998960	0	0.0
11022480	1	0.2027
11088780	0	0.0
11109480	1	0.1005
11175600	0	0.0
11203800	1	0.0967
11267160	0	0.0
11290680	1	0.0892
11603280	0	0.0
11622780	1	0.2574
11684520	0	0.0
11725140	1	0.1185
11861640	0	0.0
11887680	1	0.2363
11952600	0	0.0
11969100	1	0.0706
12038700	0	0.0
12074700	1	0.0412
12209100	0	0.0
12247680	1	0.2255
12382920	0	0.0
12407700	1	0.1054
12463500	0	0.0
12488640	1	0.1411
12559680	0	0.0
12579900	1	0.3457
12644940	0	0.0
12667320	1	0.0379
12818820	0	0.0
12836880	1	0.21
12903180	0	0.0
12922620	1	0.1174
13076400	0	0.0
13107060	1	0.149
13155360	0	0.0
13183380	1	0.1369
13249440	0	0.0
13270740	1	0.0338
13339500	0	0.0
13353240	1	0.0924
13594140	0	0.0
13638060	1	0.1041
13675200	0	0.0
13699980	1	0.1108
13773840	0	0.0
13810920	1	0.0784
14025840	0	0.0
14067360	1	0.229
14111700	0	0.0
14143320	1	0.2017
14367180	0	0.0
14391600	1	0.1632
14631360	0	0.0
14652000	1	0.1184
14720400	0	0.0
14752800	1	0.1296
14808600	0	0.0
14829840	1	0.0749
14893200	0	0.0
14920560	1	0.0276
15151680	0	0.0
15172500	1	0.0267
15235560	0	0.0
15274260	1	0.1748
15492780	0	0.0
15526380	1	0.2577
15580620	0	0.0
15598140	1	0.1591
15665820	0	0.0
15701580	1	0.0271
15752760	0	0.0
15780480	1	0.0737
15836940	0	0.0
