#1
# BEV Profile
# ID: 78
# Created: 2023-08-24 13:57:45.750304
# This table contains boolean values. Each value is valid for the time interval until next data point.
float	data(529,3)
0	1	0.0
27600	0	0.0
60780	1	0.1207
114120	0	0.0
139440	1	0.1114
199020	0	0.0
232380	1	0.0291
287700	0	0.0
322140	1	0.0626
459540	0	0.0
492480	1	0.204
642180	0	0.0
673680	1	0.097
716940	0	0.0
749400	1	0.1167
805440	0	0.0
823800	1	0.069
892020	0	0.0
920040	1	0.1238
978420	0	0.0
1013100	1	0.2099
1410720	0	0.0
1431600	1	0.1992
1503120	0	0.0
1528740	1	0.1938
1584840	0	0.0
1616040	1	0.1814
1670160	0	0.0
1707420	1	0.0286
1838880	0	0.0
1871880	1	0.0984
1921260	0	0.0
1958460	1	0.0931
2015940	0	0.0
2058360	1	0.2125
2104920	0	0.0
2135280	1	0.2585
2188320	0	0.0
2213940	1	0.1038
2276940	0	0.0
2307540	1	0.1577
2442180	0	0.0
2487900	1	0.1165
2536980	0	0.0
2565720	1	0.1597
2628060	0	0.0
2656740	1	0.0726
2704500	0	0.0
2741160	1	0.03
2786280	0	0.0
2817240	1	0.1134
2886540	0	0.0
2900640	1	0.1347
3141300	0	0.0
3162000	1	0.1383
3223020	0	0.0
3239760	1	0.1245
3397080	0	0.0
3427440	1	0.0963
3575160	0	0.0
3600000	1	0.0304
3735300	0	0.0
3767880	1	0.0338
3822180	0	0.0
3869280	1	0.0409
3991380	0	0.0
4040820	1	0.0528
4088700	0	0.0
4121340	1	0.1298
4177200	0	0.0
4198800	1	0.0699
4351980	0	0.0
4384320	1	0.1615
4438080	0	0.0
4455840	1	0.2582
4528560	0	0.0
4553760	1	0.163
4606260	0	0.0
4634820	1	0.2005
4776960	0	0.0
4823220	1	0.0325
4952280	0	0.0
4971420	1	0.2455
5041320	0	0.0
5067120	1	0.2078
5127420	0	0.0
5149740	1	0.1715
5218800	0	0.0
5248200	1	0.0191
5383800	0	0.0
5415420	1	0.1215
5475600	0	0.0
5497020	1	0.0889
5560680	0	0.0
5589660	1	0.1528
5645700	0	0.0
5683320	1	0.1702
5729280	0	0.0
5770800	1	0.2051
5813880	0	0.0
5860560	1	0.2426
5906700	0	0.0
5932980	1	0.0647
5989920	0	0.0
6024000	1	0.0407
6079980	0	0.0
6108000	1	0.1247
6161820	0	0.0
6182940	1	0.203
6261360	0	0.0
6278460	1	0.1694
6503280	0	0.0
6539040	1	0.2964
6596760	0	0.0
6621180	1	0.0928
6763440	0	0.0
6802620	1	0.3031
6850560	0	0.0
6875640	1	0.2266
6939720	0	0.0
6961560	1	0.1302
7023960	0	0.0
7044360	1	0.2064
7108260	0	0.0
7135680	1	0.1713
7377240	0	0.0
7411500	1	0.0385
7460520	0	0.0
7486860	1	0.0338
7549260	0	0.0
7572780	1	0.062
7634280	0	0.0
7667820	1	0.0314
7717320	0	0.0
7757760	1	0.1715
7806000	0	0.0
7842600	1	0.0284
7895040	0	0.0
7923600	1	0.0785
7978380	0	0.0
8002680	1	0.1751
8059020	0	0.0
8085060	1	0.0751
8229540	0	0.0
8258100	1	0.0135
8320620	0	0.0
8357580	1	0.168
8409120	0	0.0
8441160	1	0.0824
8495580	0	0.0
8527440	1	0.0894
8582040	0	0.0
8597580	1	0.1152
8659320	0	0.0
8689140	1	0.0075
8762580	0	0.0
8793360	1	0.2709
8927100	0	0.0
8961960	1	0.164
9011460	0	0.0
9042840	1	0.0536
9097260	0	0.0
9123780	1	0.1844
9186540	0	0.0
9222600	1	0.1981
9268740	0	0.0
9304200	1	0.0853
9451380	0	0.0
9462960	1	0.1879
9536700	0	0.0
9561900	1	0.3582
9705120	0	0.0
9733920	1	0.1875
9969540	0	0.0
9993780	1	0.0579
10136100	0	0.0
10170720	1	0.0439
10313940	0	0.0
10330380	1	0.1302
10399320	0	0.0
10414860	1	0.2227
10482660	0	0.0
10500000	1	0.157
10656120	0	0.0
10672020	1	0.1689
10740180	0	0.0
10777140	1	0.0767
10923000	0	0.0
10946520	1	0.1249
11000760	0	0.0
11032920	1	0.1259
11084520	0	0.0
11119260	1	0.1726
11176260	0	0.0
11201700	1	0.0359
11263020	0	0.0
11297940	1	0.0513
11426520	0	0.0
11462160	1	0.0509
11516520	0	0.0
11552460	1	0.0997
11771940	0	0.0
11821440	1	0.162
11953560	0	0.0
11968020	1	0.1028
12209820	0	0.0
12239340	1	0.1533
12398520	0	0.0
12409320	1	0.1088
12477000	0	0.0
12501540	1	0.067
12819060	0	0.0
12845580	1	0.175
12902220	0	0.0
12927180	1	0.0631
12993780	0	0.0
