#1
# BEV Profile
# ID: 62
# Created: 2023-08-24 13:57:45.531556
# This table contains boolean values. Each value is valid for the time interval until next data point.
float	data(513,3)
0	1	0.0
26220	0	0.0
62040	1	0.1046
114180	0	0.0
141420	1	0.076
203400	0	0.0
220500	1	0.0207
286860	0	0.0
314220	1	0.2995
377460	0	0.0
401820	1	0.0056
721080	0	0.0
735600	1	0.3529
801360	0	0.0
822900	1	0.0503
890400	0	0.0
918300	1	0.0758
978360	0	0.0
1014300	1	0.1829
1065720	0	0.0
1112700	1	0.0694
1237080	0	0.0
1255620	1	0.0794
1321860	0	0.0
1347240	1	0.0676
1408800	0	0.0
1448160	1	0.135
1498800	0	0.0
1523460	1	0.0114
1668720	0	0.0
1702080	1	0.1355
1759500	0	0.0
1776780	1	0.0272
1836720	0	0.0
1875840	1	0.0534
1933260	0	0.0
1967880	1	0.1318
2015460	0	0.0
2055660	1	0.0423
2104560	0	0.0
2128980	1	0.1017
2272200	0	0.0
2301900	1	0.1744
2363040	0	0.0
2374860	1	0.0497
2542500	0	0.0
2554320	1	0.1945
2703960	0	0.0
2743140	1	0.1125
2794920	0	0.0
2817780	1	0.1004
2878680	0	0.0
2905500	1	0.3121
2965200	0	0.0
2983080	1	0.0496
3052920	0	0.0
3075180	1	0.0382
3230880	0	0.0
3260880	1	0.0138
3310740	0	0.0
3335520	1	0.148
3388440	0	0.0
3424560	1	0.1438
3483600	0	0.0
3514140	1	0.15
3568680	0	0.0
3603180	1	0.1119
3744840	0	0.0
3771960	1	0.1229
3832200	0	0.0
3863100	1	0.0521
3913020	0	0.0
3935880	1	0.1242
4002900	0	0.0
4032960	1	0.1114
4089420	0	0.0
4109520	1	0.1917
4174320	0	0.0
4206720	1	0.0639
4266600	0	0.0
4295340	1	0.0589
4346640	0	0.0
4371480	1	0.2255
4436280	0	0.0
4458180	1	0.143
4514700	0	0.0
4549020	1	0.0447
4605960	0	0.0
4634220	1	0.0746
4692000	0	0.0
4714320	1	0.0302
4780800	0	0.0
4811880	1	0.0464
4867380	0	0.0
4896060	1	0.0292
5042940	0	0.0
5065020	1	0.1546
5216820	0	0.0
5238720	1	0.0753
5292720	0	0.0
5339700	1	0.2392
5472960	0	0.0
5503980	1	0.0207
5557620	0	0.0
5596980	1	0.1292
5642880	0	0.0
5667000	1	0.1158
5729520	0	0.0
5761200	1	0.0852
5815020	0	0.0
5844780	1	0.072
5900220	0	0.0
5932140	1	0.1057
5988000	0	0.0
6016320	1	0.0417
6167160	0	0.0
6203580	1	0.1682
6249180	0	0.0
