#1
# BEV Profile
# ID: 126
# Created: 2023-08-24 13:57:46.359711
# This table contains boolean values. Each value is valid for the time interval until next data point.
float	data(547,3)
0	1	0.0
22200	0	0.0
57900	1	0.0994
115200	0	0.0
132720	1	0.2106
203280	0	0.0
231480	1	0.2905
288900	0	0.0
323280	1	0.0798
376080	0	0.0
405540	1	0.3102
454080	0	0.0
474480	1	0.2238
553680	0	0.0
572760	1	0.1086
637500	0	0.0
663000	1	0.1169
726000	0	0.0
748980	1	0.2758
814620	0	0.0
846240	1	0.4721
894360	0	0.0
923160	1	0.1052
1072980	0	0.0
1102500	1	0.2358
1147560	0	0.0
1170900	1	0.0455
1319880	0	0.0
1363680	1	0.3325
1405860	0	0.0
1435680	1	0.0322
1502580	0	0.0
1524240	1	0.509
1586580	0	0.0
1604940	1	0.2469
1670340	0	0.0
1690620	1	0.2759
1755780	0	0.0
1785480	1	0.1343
2010900	0	0.0
2032560	1	0.0656
2099040	0	0.0
2123640	1	0.2617
2191560	0	0.0
2218740	1	0.1028
2274240	0	0.0
2289060	1	0.0965
2361180	0	0.0
2394060	1	0.2322
2792160	0	0.0
2807700	1	0.1306
2876520	0	0.0
2895540	1	0.1443
2967720	0	0.0
2982420	1	0.1148
3053040	0	0.0
3076140	1	0.1707
3228180	0	0.0
3249600	1	0.2903
3396780	0	0.0
3416520	1	0.2194
3747420	0	0.0
3769080	1	0.1238
3835620	0	0.0
3866040	1	0.169
3916800	0	0.0
3950280	1	0.2631
4001280	0	0.0
4039080	1	0.0934
4095540	0	0.0
4118160	1	0.1179
4167540	0	0.0
4213980	1	0.0297
4255500	0	0.0
4284300	1	0.0467
4350660	0	0.0
4377480	1	0.0782
4520220	0	0.0
4552260	1	0.2952
4608000	0	0.0
4629240	1	0.3205
4782600	0	0.0
4811460	1	0.2963
4862820	0	0.0
4889940	1	0.0516
4947060	0	0.0
4978020	1	0.2423
5037540	0	0.0
5067960	1	0.0719
5125500	0	0.0
5148420	1	0.2415
5308260	0	0.0
5332500	1	0.1554
5554500	0	0.0
5593200	1	0.1011
5641620	0	0.0
5690700	1	0.1072
5735340	0	0.0
5753520	1	0.1393
5898480	0	0.0
5918400	1	0.2736
6166860	0	0.0
6178860	1	0.1303
6249780	0	0.0
6272340	1	0.1794
6333660	0	0.0
6362400	1	0.1294
6423300	0	0.0
6433260	1	0.087
6508500	0	0.0
6534300	1	0.042
6689100	0	0.0
6703860	1	0.2002
6766080	0	0.0
6804540	1	0.2055
6845940	0	0.0
6897540	1	0.2203
6940320	0	0.0
6964140	1	0.3412
7024080	0	0.0
7057320	1	0.0741
7115760	0	0.0
7140180	1	0.0784
7372800	0	0.0
7396980	1	0.1822
7465920	0	0.0
7492380	1	0.2638
7541640	0	0.0
7573680	1	0.0362
7630920	0	0.0
7648140	1	0.0726
7722660	0	0.0
7746360	1	0.1434
