#1
# BEV Profile
# ID: 10
# Created: 2023-08-24 13:57:44.828431
# This table contains boolean values. Each value is valid for the time interval until next data point.
float	data(513,3)
0	1	0.0
28200	0	0.0
72540	1	0.0331
114240	0	0.0
139140	1	0.1743
201840	0	0.0
231180	1	0.2639
283380	0	0.0
308460	1	0.1787
374400	0	0.0
409800	1	0.0703
541320	0	0.0
579600	1	0.1114
631560	0	0.0
665880	1	0.0457
718380	0	0.0
751260	1	0.0834
812460	0	0.0
844680	1	0.1476
900060	0	0.0
931560	1	0.0885
981540	0	0.0
1000320	1	0.1259
1146420	0	0.0
1178460	1	0.0324
1240680	0	0.0
1273620	1	0.0473
1323780	0	0.0
1360260	1	0.2688
1408080	0	0.0
1449660	1	0.1581
1498620	0	0.0
1516020	1	0.2876
1588740	0	0.0
1618380	1	0.161
1669620	0	0.0
1696500	1	0.1211
1752840	0	0.0
1788780	1	0.018
1839060	0	0.0
1877760	1	0.057
1929480	0	0.0
1958460	1	0.1737
2025660	0	0.0
2042580	1	0.2955
2193240	0	0.0
2211420	1	0.0431
2535780	0	0.0
2559180	1	0.1236
2618340	0	0.0
2647080	1	0.0386
2704740	0	0.0
2743980	1	0.0654
2877480	0	0.0
2913360	1	0.1951
2963940	0	0.0
2985360	1	0.1067
3226620	0	0.0
3258600	1	0.1501
3314040	0	0.0
3342540	1	0.1063
3401640	0	0.0
3421320	1	0.2053
3478980	0	0.0
3521460	1	0.1881
3576600	0	0.0
3604500	1	0.0477
3656640	0	0.0
3683880	1	0.0567
3831720	0	0.0
3853020	1	0.0558
3916440	0	0.0
3957000	1	0.2004
4003860	0	0.0
4024740	1	0.244
4179660	0	0.0
4210500	1	0.0317
4262700	0	0.0
4292100	1	0.0542
4349160	0	0.0
4382340	1	0.1715
4522020	0	0.0
4549500	1	0.2518
4606500	0	0.0
4648380	1	0.0941
4859580	0	0.0
4896120	1	0.0116
4954140	0	0.0
4985460	1	0.1852
5039040	0	0.0
5060580	1	0.0995
5121840	0	0.0
5156220	1	0.1076
5212740	0	0.0
5250480	1	0.2125
5299860	0	0.0
5352180	1	0.1494
5648460	0	0.0
5673660	1	0.2394
5737920	0	0.0
5752800	1	0.1762
5904420	0	0.0
5937480	1	0.1124
5993100	0	0.0
6025800	1	0.0397
6072660	0	0.0
6110340	1	0.0588
6253140	0	0.0
6279600	1	0.5053
6341700	0	0.0
6359760	1	0.0838
6421680	0	0.0
6449220	1	0.087
6588720	0	0.0
6615780	1	0.0544
6933960	0	0.0
6969720	1	0.1831
7196880	0	0.0
7237200	1	0.0433
7376640	0	0.0
7408860	1	0.2223
7458780	0	0.0
7470240	1	0.3444
7548000	0	0.0
7578600	1	0.1787
7716360	0	0.0
7746960	1	0.1029
7885860	0	0.0
7914900	1	0.0212
7974360	0	0.0
7997340	1	0.1877
8061480	0	0.0
8090340	1	0.3035
8243220	0	0.0
8271480	1	0.3424
8577240	0	0.0
8606280	1	0.3146
8664480	0	0.0
8691240	1	0.1172
8837880	0	0.0
8878140	1	0.0943
9098400	0	0.0
9121860	1	0.0793
9187920	0	0.0
9209400	1	0.1031
9356700	0	0.0
9372060	1	0.15
9449820	0	0.0
9480900	1	0.3284
9540120	0	0.0
9561660	1	0.351
9617100	0	0.0
9644040	1	0.067
9707820	0	0.0
9742560	1	0.019
9784560	0	0.0
9821340	1	0.2089
9961500	0	0.0
9996240	1	0.2667
10051680	0	0.0
10078200	1	0.2121
10135260	0	0.0
10168260	1	0.0314
10310700	0	0.0
10331280	1	0.0695
10398840	0	0.0
10425780	1	0.1584
10489080	0	0.0
10513320	1	0.211
10573080	0	0.0
10602780	1	0.2816
10743720	0	0.0
10774800	1	0.2736
10822200	0	0.0
10859280	1	0.0683
10912320	0	0.0
10951680	1	0.015
11001600	0	0.0
11030520	1	0.2081
11086200	0	0.0
11116920	1	0.0217
11173320	0	0.0
11193540	1	0.1452
11261880	0	0.0
11281320	1	0.1114
11342100	0	0.0
11372580	1	0.1354
11517960	0	0.0
11551980	1	0.025
11599800	0	0.0
11641680	1	0.2907
11693400	0	0.0
11725140	1	0.058
11777880	0	0.0
11811780	1	0.1719
11859780	0	0.0
