#1
# BEV Profile
# ID: 76
# Created: 2023-08-24 13:57:45.734680
# This table contains boolean values. Each value is valid for the time interval until next data point.
float	data(523,3)
0	1	0.0
119040	0	0.0
146460	1	0.168
202560	0	0.0
229320	1	0.2487
290760	0	0.0
308280	1	0.1803
379080	0	0.0
393900	1	0.2029
463140	0	0.0
492360	1	0.2733
723960	0	0.0
750240	1	0.1872
808200	0	0.0
828960	1	0.181
894420	0	0.0
927300	1	0.2478
982380	0	0.0
1005060	1	0.2182
1149960	0	0.0
1180980	1	0.0297
1238520	0	0.0
1250040	1	0.0411
1322340	0	0.0
1365180	1	0.2902
1410480	0	0.0
1429860	1	0.4126
1503060	0	0.0
1528140	1	0.2306
1581300	0	0.0
1619940	1	0.2776
1671900	0	0.0
1699620	1	0.1942
1837860	0	0.0
1876980	1	0.0248
1930140	0	0.0
1959840	1	0.2381
2018340	0	0.0
2039460	1	0.0313
2192760	0	0.0
2218080	1	0.1655
2273760	0	0.0
2315280	1	0.1904
2357220	0	0.0
2393460	1	0.0197
2531940	0	0.0
2567100	1	0.1121
2620560	0	0.0
2648160	1	0.0322
2714460	0	0.0
2751360	1	0.0805
2876160	0	0.0
2920500	1	0.0873
2961180	0	0.0
2993760	1	0.088
3051060	0	0.0
3079800	1	0.0438
3137760	0	0.0
3159780	1	0.2748
3228660	0	0.0
3256560	1	0.2494
3403320	0	0.0
3428580	1	0.2796
3483180	0	0.0
3518400	1	0.2202
3574080	0	0.0
3600420	1	0.0382
3742080	0	0.0
3783900	1	0.098
3836100	0	0.0
3861660	1	0.0983
3917940	0	0.0
3946080	1	0.2376
3999000	0	0.0
4028580	1	0.1074
4262580	0	0.0
4300920	1	0.0757
4347240	0	0.0
4373580	1	0.239
4522680	0	0.0
4550160	1	0.1981
4604940	0	0.0
4632840	1	0.0787
4695900	0	0.0
4719240	1	0.3445
5037660	0	0.0
5060280	1	0.0957
5129700	0	0.0
5152920	1	0.0597
5212260	0	0.0
5253960	1	0.392
5302140	0	0.0
5321100	1	0.3301
5386500	0	0.0
5423580	1	0.033
5729400	0	0.0
5743680	1	0.2473
5907840	0	0.0
5935560	1	0.1671
5984880	0	0.0
6027360	1	0.0394
6076980	0	0.0
6097200	1	0.0189
6159660	0	0.0
6189720	1	0.1889
6251100	0	0.0
6270540	1	0.1678
6336180	0	0.0
6369720	1	0.1073
6416040	0	0.0
6458640	1	0.1624
6510900	0	0.0
6536700	1	0.089
6685320	0	0.0
6716220	1	0.0579
6772380	0	0.0
6795240	1	0.2565
6852000	0	0.0
6880140	1	0.158
6943380	0	0.0
6974040	1	0.0825
7024080	0	0.0
7055940	1	0.1201
7110960	0	0.0
7138500	1	0.3045
7458660	0	0.0
7483260	1	0.1821
7548300	0	0.0
7581540	1	0.1096
7719540	0	0.0
7741860	1	0.2857
7804380	0	0.0
7835220	1	0.0262
7880460	0	0.0
7917180	1	0.0502
8067720	0	0.0
8084220	1	0.1365
8153460	0	0.0
8180940	1	0.0752
8231940	0	0.0
8264160	1	0.0668
8321280	0	0.0
8364780	1	0.2195
8411220	0	0.0
8449740	1	0.1082
8498100	0	0.0
8519640	1	0.0619
8586060	0	0.0
8604060	1	0.1535
8672100	0	0.0
8698260	1	0.1064
8752620	0	0.0
8776020	1	0.2743
8931300	0	0.0
8942460	1	0.1288
9014460	0	0.0
9038280	1	0.0469
9100620	0	0.0
9128040	1	0.0567
9182700	0	0.0
9201360	1	0.2433
9268740	0	0.0
9309840	1	0.3593
9360660	0	0.0
9387000	1	0.2006
9439140	0	0.0
9467400	1	0.1791
9531060	0	0.0
9569460	1	0.122
9617580	0	0.0
9656220	1	0.0612
9708360	0	0.0
9719280	1	0.0731
9880140	0	0.0
9906000	1	0.1805
9963900	0	0.0
9989220	1	0.203
10055520	0	0.0
10072560	1	0.1884
10129740	0	0.0
10164960	1	0.0921
10311000	0	0.0
10341960	1	0.0206
10393320	0	0.0
10428960	1	0.2242
10482660	0	0.0
10518600	1	0.2046
10740960	0	0.0
10770240	1	0.1165
11002200	0	0.0
11027460	1	0.0594
11085360	0	0.0
11123220	1	0.2337
11179800	0	0.0
11214600	1	0.2756
11431920	0	0.0
11462340	1	0.0217
11606520	0	0.0
11640240	1	0.1893
11696100	0	0.0
11704440	1	0.1459
11789220	0	0.0
11820000	1	0.2346
11864700	0	0.0
11888340	1	0.1215
11955960	0	0.0
11985600	1	0.1821
12212040	0	0.0
12232500	1	0.2103
12296760	0	0.0
12320580	1	0.158
12382740	0	0.0
12416100	1	0.064
12470940	0	0.0
12490020	1	0.1927
12557400	0	0.0
12582600	1	0.1339
12637500	0	0.0
12671580	1	0.0659
12815760	0	0.0
12831540	1	0.1829
12904140	0	0.0
12926880	1	0.0373
12993480	0	0.0
13006920	1	0.231
13069440	0	0.0
13099800	1	0.3197
13250700	0	0.0
13270800	1	0.0056
13513080	0	0.0
13530660	1	0.1808
13686900	0	0.0
13714140	1	0.1553
13763160	0	0.0
13801080	1	0.0863
13854420	0	0.0
13870740	1	0.0421
14017440	0	0.0
14074500	1	0.0293
14113080	0	0.0
14149620	1	0.1459
14200080	0	0.0
14217420	1	0.1826
14282340	0	0.0
14311080	1	0.2447
14367480	0	0.0
14398860	1	0.4793
14454600	0	0.0
14491020	1	0.0587
14543040	0	0.0
14572860	1	0.0268
14722320	0	0.0
14746380	1	0.2595
14800620	0	0.0
14831160	1	0.1326
14976420	0	0.0
14999400	1	0.1567
15062580	0	0.0
15091260	1	0.0175
15234000	0	0.0
15254880	1	0.2553
15321000	0	0.0
15358140	1	0.083
15407280	0	0.0
15428640	1	0.0314
15495000	0	0.0
15519180	1	0.085
15582420	0	0.0
15606420	1	0.0914
15841080	0	0.0
15871020	1	0.1041
15930240	0	0.0
15963360	1	0.0566
16014840	0	0.0
16039200	1	0.0621
16096620	0	0.0
