#1
# BEV Profile
# ID: 123
# Created: 2023-08-24 13:57:46.328462
# This table contains boolean values. Each value is valid for the time interval until next data point.
float	data(493,3)
0	1	0.0
27300	0	0.0
60000	1	0.0468
206940	0	0.0
237180	1	0.1809
287760	0	0.0
325860	1	0.0484
372540	0	0.0
400980	1	0.0798
456780	0	0.0
485220	1	0.0762
546060	0	0.0
560220	1	0.086
718740	0	0.0
752340	1	0.0891
803700	0	0.0
833820	1	0.0472
894060	0	0.0
927300	1	0.1305
977340	0	0.0
1008840	1	0.098
1067160	0	0.0
1091040	1	0.0667
1408980	0	0.0
1442040	1	0.0846
1495920	0	0.0
1521240	1	0.079
1754280	0	0.0
1786800	1	0.0163
1847100	0	0.0
1866240	1	0.0929
1927140	0	0.0
1959600	1	0.133
2017080	0	0.0
2049180	1	0.0216
2187540	0	0.0
2212260	1	0.1686
2274000	0	0.0
2297520	1	0.0934
2534820	0	0.0
2570880	1	0.0686
2613480	0	0.0
2649420	1	0.0729
2704380	0	0.0
2730600	1	0.0815
2794320	0	0.0
2826120	1	0.1098
3052380	0	0.0
3085800	1	0.0043
3142860	0	0.0
3170160	1	0.1189
3313740	0	0.0
3332100	1	0.1251
3402300	0	0.0
3441300	1	0.1969
3484020	0	0.0
3509040	1	0.0256
3568020	0	0.0
3599700	1	0.0497
3831600	0	0.0
3859380	1	0.1243
3916380	0	0.0
3941520	1	0.0935
4086540	0	0.0
4123920	1	0.1318
4348380	0	0.0
4378680	1	0.1157
4436340	0	0.0
4469580	1	0.0898
4522320	0	0.0
4549980	1	0.144
4603260	0	0.0
4642260	1	0.0329
4695600	0	0.0
4720860	1	0.0512
4868400	0	0.0
4882740	1	0.0522
4954200	0	0.0
4987860	1	0.0635
5035860	0	0.0
5058240	1	0.1127
5130060	0	0.0
5141940	1	0.0822
5211960	0	0.0
5237220	1	0.0502
5566260	0	0.0
5570880	1	0.0217
5726700	0	0.0
5754540	1	0.0912
5987280	0	0.0
6022020	1	0.0166
6166560	0	0.0
6178020	1	0.1266
6248340	0	0.0
6284460	1	0.0932
6328200	0	0.0
6353160	1	0.0405
6420720	0	0.0
6466560	1	0.0562
6514140	0	0.0
6541980	1	0.0549
6602460	0	0.0
6625200	1	0.0394
6765300	0	0.0
6792720	1	0.1097
6860940	0	0.0
6887700	1	0.1658
6946440	0	0.0
6974100	1	0.1074
7027440	0	0.0
7064220	1	0.1101
7452960	0	0.0
7493340	1	0.0676
7544220	0	0.0
7574580	1	0.0286
7629420	0	0.0
7670100	1	0.0723
7809780	0	0.0
7829400	1	0.11
7975500	0	0.0
7994580	1	0.149
8064060	0	0.0
8094180	1	0.1023
8239560	0	0.0
8273280	1	0.0669
8584680	0	0.0
8620920	1	0.0694
8666880	0	0.0
8695680	1	0.0722
8754300	0	0.0
8776680	1	0.0809
8838720	0	0.0
8877960	1	0.1365
8922840	0	0.0
8957220	1	0.1191
9008520	0	0.0
9059400	1	0.1016
9098640	0	0.0
9136680	1	0.0292
9273540	0	0.0
9284880	1	0.0635
9360360	0	0.0
9390780	1	0.1063
9444660	0	0.0
9470760	1	0.0921
9535560	0	0.0
9559800	1	0.0308
9703740	0	0.0
9728640	1	0.0422
9791460	0	0.0
9828600	1	0.0419
9966300	0	0.0
9994740	1	0.0677
10048380	0	0.0
10086600	1	0.0408
10141500	0	0.0
10164600	1	0.1404
10303740	0	0.0
10339380	1	0.0674
10400580	0	0.0
10412280	1	0.0397
10485420	0	0.0
10500720	1	0.2545
10653000	0	0.0
10673040	1	0.1342
10744560	0	0.0
10769520	1	0.0452
10919100	0	0.0
10933920	1	0.0982
11002680	0	0.0
11032980	1	0.0534
11090400	0	0.0
11111280	1	0.007
11174820	0	0.0
11208960	1	0.1413
11349300	0	0.0
11379840	1	0.023
11516940	0	0.0
11540040	1	0.14
11608260	0	0.0
11626920	1	0.1684
11690040	0	0.0
11718600	1	0.0236
11780400	0	0.0
11803200	1	0.187
11864640	0	0.0
11896200	1	0.0454
12119820	0	0.0
12146880	1	0.165
12210960	0	0.0
12235800	1	0.1222
12290940	0	0.0
12323100	1	0.0823
12473520	0	0.0
12482760	1	0.1939
12554640	0	0.0
12580140	1	0.0995
12644940	0	0.0
12668760	1	0.0599
12986940	0	0.0
13011060	1	0.1023
13160820	0	0.0
13187700	1	0.2366
13419540	0	0.0
13448640	1	0.0494
13513920	0	0.0
13537980	1	0.0487
13677960	0	0.0
13708560	1	0.0961
13772520	0	0.0
13787520	1	0.1144
13849200	0	0.0
13878720	1	0.0351
13938000	0	0.0
13959000	1	0.065
14028360	0	0.0
14060400	1	0.0925
14116980	0	0.0
14137140	1	0.125
14199240	0	0.0
14239200	1	0.16
14289360	0	0.0
14316060	1	0.084
14371800	0	0.0
14412660	1	0.1222
14637780	0	0.0
14658720	1	0.1666
14710980	0	0.0
14752440	1	0.2173
14805480	0	0.0
14838060	1	0.026
14887500	0	0.0
14920740	1	0.1338
14974740	0	0.0
15014580	1	0.0714
15056700	0	0.0
15087120	1	0.0972
15324720	0	0.0
15348480	1	0.0289
15406140	0	0.0
15434580	1	0.1568
15494640	0	0.0
15511440	1	0.1773
15591300	0	0.0
15621480	1	0.0768
15831480	0	0.0
15888660	1	0.1272
15927120	0	0.0
15954000	1	0.1264
16018860	0	0.0
16035600	1	0.0992
16099920	0	0.0
16117920	1	0.0494
16189140	0	0.0
16215420	1	0.1103
16446720	0	0.0
16478940	1	0.0862
16528440	0	0.0
16564980	1	0.0694
16612440	0	0.0
16639440	1	0.0788
